Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
21801,0.32,Good,G,SI1,63.5,56.0,4.35,4.38,2.77,477
13014,0.54,Ideal,G,IF,,57.0,5.26,5.28,3.22,2289
11504,0.35,Ideal,G,IF,62.3,55.0,4.5,4.52,2.81,1044
19246,1.26,Ideal,H,SI2,62.0,55.0,6.9,6.97,4.29,6239
19977,0.23,Good,E,VVS2,62.2,60.0,3.9,3.94,2.44,505
1332,1.13,Very Good,D,VVS2,61.5,58.0,6.64,6.67,4.09,13111
5941,1.25,Ideal,E,VVS1,62.6,56.0,6.83,6.91,4.3,13536
17871,0.31,Premium,F,IF,61.5,58.0,4.33,4.35,2.67,979
16665,0.73,Good,H,VS1,64.1,58.8,5.63,5.67,3.62,2673
10093,0.41,Ideal,F,VS2,,57.0,4.78,4.73,2.98,1107
24506,0.3,Premium,G,VVS1,,59.0,4.33,4.37,2.64,789
7458,0.41,Good,J,IF,63.6,54.0,4.72,4.75,3.01,827
6795,1.52,Premium,J,SI1,60.4,59.0,7.44,7.39,4.48,5618
26176,0.7,Very Good,G,VS2,63.3,57.0,5.62,5.66,3.57,2538
17013,1.51,Premium,G,SI2,62.8,56.0,7.3,7.22,4.56,8794
13244,1.01,Premium,H,SI1,59.2,58.0,6.58,6.56,3.89,3417
24065,2.0,Good,H,VS2,63.8,59.0,7.88,8.01,5.07,18023
4715,2.04,Ideal,J,SI1,61.7,57.0,8.11,8.17,5.02,14130
9927,1.2,Very Good,F,VS1,62.6,59.0,6.64,6.71,4.18,8983
1251,0.91,Ideal,E,SI1,61.9,55.0,6.21,6.23,3.85,5458
22911,0.9,Very Good,F,SI2,63.4,59.0,6.07,6.11,3.86,3605
18210,0.77,Ideal,F,VS1,62.1,57.0,5.88,5.84,3.64,3387
8008,0.91,Good,E,SI2,64.3,57.0,6.0,6.04,3.87,3632
1503,1.2,Ideal,D,SI1,62.7,55.0,6.71,6.79,4.23,7761
13141,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,743
10562,0.61,Very Good,E,SI1,63.9,54.0,5.38,5.42,3.45,2179
18767,0.5,Ideal,E,SI2,60.7,56.0,5.16,5.19,3.14,1359
